Origin State,Dest State,Year,Measure Names,Domestic,Export,Import,Sum
Pennsylvania,Alabama,2022,Current Value (millions of dollars),3471.96043,3.264203,57.859487,3533.08412
Pennsylvania,Alaska,2022,Current Value (millions of dollars),1021.755613,707.555386,0.268812,1729.579811
Pennsylvania,Arizona,2022,Current Value (millions of dollars),3693.751547,483.281657,91.791515,4268.824719
Pennsylvania,Arkansas,2022,Current Value (millions of dollars),1973.889026,0,2.588072,1976.477098
Pennsylvania,California,2022,Current Value (millions of dollars),19299.61046,591.011202,1698.122963,21588.74463
Pennsylvania,Colorado,2022,Current Value (millions of dollars),5116.01979,0.005124,83.269227,5199.294141
Pennsylvania,Connecticut,2022,Current Value (millions of dollars),10103.67605,0,532.004768,10635.68082
Pennsylvania,Delaware,2022,Current Value (millions of dollars),7439.24851,256.662151,1144.165216,8840.075877
Pennsylvania,District of Columbia,2022,Current Value (millions of dollars),1668.700883,356.799954,10.908455,2036.409292
Pennsylvania,Florida,2022,Current Value (millions of dollars),14358.21675,1065.27885,1963.063819,17386.55942
Pennsylvania,Georgia,2022,Current Value (millions of dollars),11431.58516,216.689506,508.368787,12156.64345
Pennsylvania,Hawaii,2022,Current Value (millions of dollars),367.471766,39.261727,0.21349,406.946983
Pennsylvania,Idaho,2022,Current Value (millions of dollars),880.933822,0.00513,12.083342,893.022294
Pennsylvania,Illinois,2022,Current Value (millions of dollars),15710.1719,976.200165,1459.091036,18145.4631
Pennsylvania,Indiana,2022,Current Value (millions of dollars),12908.8484,19.936742,253.198489,13181.98363
Pennsylvania,Iowa,2022,Current Value (millions of dollars),3211.854165,0,93.911651,3305.765816
Pennsylvania,Kansas,2022,Current Value (millions of dollars),2435.886009,0,249.555466,2685.441475
Pennsylvania,Kentucky,2022,Current Value (millions of dollars),6652.237284,1440.157977,81.333668,8173.728929
Pennsylvania,Louisiana,2022,Current Value (millions of dollars),2007.919434,49.520618,70.045254,2127.485306
Pennsylvania,Maine,2022,Current Value (millions of dollars),5464.929635,204.105253,20.302171,5689.337059
Pennsylvania,Maryland,2022,Current Value (millions of dollars),33414.68364,2579.601344,615.117835,36609.40282
Pennsylvania,Massachusetts,2022,Current Value (millions of dollars),15543.86979,10.335706,753.234777,16307.44027
Pennsylvania,Michigan,2022,Current Value (millions of dollars),11092.82724,3008.345523,232.147196,14333.31996
Pennsylvania,Minnesota,2022,Current Value (millions of dollars),2998.879594,10.997311,377.306413,3387.183318
Pennsylvania,Mississippi,2022,Current Value (millions of dollars),6947.843072,0.034186,12.144056,6960.021314
Pennsylvania,Missouri,2022,Current Value (millions of dollars),6548.265558,0.006985,97.471389,6645.743932
Pennsylvania,Montana,2022,Current Value (millions of dollars),454.381559,138.762238,1.755849,594.899646
Pennsylvania,Nebraska,2022,Current Value (millions of dollars),1424.779135,0,178.657937,1603.437072
Pennsylvania,Nevada,2022,Current Value (millions of dollars),1424.470004,0,29.906026,1454.37603
Pennsylvania,New Hampshire,2022,Current Value (millions of dollars),3306.089757,0,110.38107,3416.470827
Pennsylvania,New Jersey,2022,Current Value (millions of dollars),93733.91826,1761.503492,10445.79712,105941.2189
Pennsylvania,New Mexico,2022,Current Value (millions of dollars),474.416561,25.773645,0.500458,500.690664
Pennsylvania,New York,2022,Current Value (millions of dollars),78330.89278,21200.19831,1847.280838,101378.3719
Pennsylvania,North Carolina,2022,Current Value (millions of dollars),16939.97585,114.079794,834.840169,17888.89581
Pennsylvania,North Dakota,2022,Current Value (millions of dollars),329.855905,940.564708,2.016796,1272.437409
Pennsylvania,Ohio,2022,Current Value (millions of dollars),50027.29013,21.638873,1002.655849,51051.58485
Pennsylvania,Oklahoma,2022,Current Value (millions of dollars),2818.777431,0,7.975356,2826.752787
Pennsylvania,Oregon,2022,Current Value (millions of dollars),1984.63082,0.352757,72.836798,2057.820375
Pennsylvania,Pennsylvania,2022,Current Value (millions of dollars),346934.7092,8236.185491,33342.14644,388513.0411
Pennsylvania,Rhode Island,2022,Current Value (millions of dollars),1535.01391,1.551675,692.8037,2229.369285
Pennsylvania,South Carolina,2022,Current Value (millions of dollars),10117.98565,65.114953,348.865394,10531.966
Pennsylvania,South Dakota,2022,Current Value (millions of dollars),544.742832,15.720749,242.517071,802.980652
Pennsylvania,Tennessee,2022,Current Value (millions of dollars),6164.87773,1148.978641,118.347517,7432.203888
Pennsylvania,Texas,2022,Current Value (millions of dollars),17361.04654,4557.061007,295.603635,22213.71118
Pennsylvania,Utah,2022,Current Value (millions of dollars),3281.368171,0,17.807383,3299.175554
Pennsylvania,Vermont,2022,Current Value (millions of dollars),1558.687882,11.645371,20.563462,1590.896715
Pennsylvania,Virginia,2022,Current Value (millions of dollars),21686.92487,509.999769,382.036063,22578.9607
Pennsylvania,Washington,2022,Current Value (millions of dollars),3687.631757,423.134428,320.872351,4431.638536
Pennsylvania,West Virginia,2022,Current Value (millions of dollars),18112.68171,0,164.894836,18277.57655
Pennsylvania,Wisconsin,2022,Current Value (millions of dollars),5381.71852,0.049139,171.282118,5553.049777
Pennsylvania,Wyoming,2022,Current Value (millions of dollars),465.322775,0,1.558436,466.881211
