Origin State,Total
Alabama,385812.5818
Alaska,68323.27003
Arizona,296654.7591
Arkansas,197934.6686
California,2917096.294
Colorado,284537.904
Connecticut,255879.8106
Delaware,87113.34596
District of Columbia,18009.42206
Florida,882469.1527
Georgia,841713.3353
Hawaii,44131.15567
Idaho,100378.708
Illinois,1455235.864
Indiana,652464.9443
Iowa,368454.96
Kansas,322618.9642
Kentucky,464605.1148
Louisiana,658301.5597
Maine,72639.40098
Maryland,300124.1829
Massachusetts,410159.8259
Michigan,901448.1711
Minnesota,479760.6187
Mississippi,264086.9568
Missouri,411312.5499
Montana,86166.07683
Nebraska,200515.3005
Nevada,96654.44376
New Hampshire,80887.21954
New Jersey,876234.4493
New Mexico,140350.9091
New York,1095020.329
North Carolina,620758.9212
North Dakota,277160.4104
Ohio,908670.4179
Oklahoma,257336.5703
Oregon,249558.3126
Pennsylvania,1006112.067
Rhode Island,74322.6417
South Carolina,362910.9937
South Dakota,80352.9789
Tennessee,625889.9001
Texas,3637242.682
Utah,214908.6427
Vermont,43938.776
Virginia,430100.4844
Washington,595044.5179
West Virginia,111565.6912
Wisconsin,484664.28
Wyoming,60843.03652
