,1-Truck,2-Rail,3-Water,4-Air (include truck-air),5-Multiple modes & mail,6-Pipeline,7-Other and unknown,8-No domestic mode
1997,10938058.7386,1693813.811,626717.423,8531.8625,463031.3937,2482998.4615,75895.7385,284115.5419
2002,10968366.8433,2032806.0714,679003.1318,4720.2642,386739.8588,2567314.8104,98383.5156,294426.704
2007,12501222.641999999,2048968.0581999999,648576.227,5068.414,646576.0362,2779280.0671,77417.1474,299909.9255
2012,11137830.8375,1804403.0874,658257.6943,7403.321,418834.3411,3030756.4506,41580.470499999996,300489.2386
2017,12800256.5058,1615503.1628,914839.4003,6470.4791,687873.5446,3450602.6772,102197.52320000001,208641.3179
2018,12955798.1316,1638238.5006,851590.912,6691.4153,671703.7136,3790856.2949,100066.5502,192328.9737
2019,12851718.1982,1598798.4172,821361.5076,6540.6333,653190.7928,3904531.6917,95747.5574,136037.5186
2020,12436148.7187,1440977.4883,743343.5369,6507.9902,622301.5192,3704636.1580000003,82628.3802,103734.4386
2021,12677556.3636,1508867.3901,761471.7689,7433.8042000000005,617902.864,3817315.5647,85220.61020000001,105619.2987
2022,12658218.4809,1573381.9658,777498.7959,7809.8231000000005,625416.9336,3971391.3327,85932.549,111044.4307
2025,13604403.1805,1528692.2735000001,951886.3419,7217.6128,758005.7762,4001472.5199,81456.8423,138610.8161
2030,14461795.7732,1535757.0860000001,989863.4054,8121.659,817583.7238,4305252.942,66174.797,123807.8268
2035,15369180.1001,1572934.1224,1026993.7769,9103.4045,887306.8886000001,4513840.976100001,54188.3073,114127.3539
2040,16484541.1889,1646315.793,1087333.7158,10241.8415,972226.179,4739026.536,47267.9141,104661.1852
2045,17829269.5197,1759428.0409000001,1151704.764,11580.193800000001,1074782.2894000001,4873003.2661999995,44278.8244,96844.0644
2050,19304297.3875,1910938.206,1238054.7192,13037.4112,1188749.3993,5102468.1302000005,44250.287500000006,88695.6725
